city,county,exteriorConstruction,floorSizeValue,hvacTypes,lotSizeValue,lotSizeUnit,mostRecentPricePerSquareFoot,mostRecentStatus,mlsNumber,neighborhoods,numBathroom,numBedroom,numFloor,numParkingSpaces,parkingTypes,prices,propertyType,province,sewerType,yearBuilt,parkingTypes_cleaned,lotSizeUnit_encoded
Cape Coral,Lee County,"Stucco,Block, Stucco,Concrete Block, Stucco,Concrete,Block, Concrete, Stucco,Other",2246.0," CeilingFan(s), Central Air,Central Electric,Heating-Electric Heating,Cooling-Electric, Ceiling Fan(s),CentralAir, Electric,Electric,CentralAir,CeilingFans,Cooling Y N: Yes,Central,Central Air,Cooling-Central Air, Electric,Central Furnace,Cooling: Central Air, Electric,Ceiling Fan(s), Central Air,Ceiling Fan(s),Central A/C,Heating-Electric Heating Central,Heating: Central, Electric,Heating Yn: Yes",0.23,Acres,182.55,For Sale,225046566,"CAPE CORAL,Burnt Store,Cape Coral,Florida",2.0,3.0,1.0,3.0,"Driveway,Street,Attached Garage",430000.0,Single Family Dwelling,FL,Septic,2006.0,"attached garage, driveway, street",0
Bumpass,Louisa,"Frame,Block, Frame, Vinyl Siding,Vinyl,Block, Drywall, Frame, VinylSiding",1534.0,"Heating-Electric Heating,Electric,Central Air,Cooling-Central Air, Electric",81588.0,Square Feet,208.54,For Sale,2518007,Hopeful Church Estates,2.0,3.0,1.0,20.317147192716238,Street,319900.0,Single Family Dwelling,VA,Septic,2020.0,street,1
Cape Coral,Lee County,"Stucco,Concrete,Stone,Other,Block, Stone, Stucco",2286.0,"Electric,Heating-Electric Heating Central,Central,Central Air,None,Cooling-Central Air, Electric",0.29,Acres,132.89,For Sale,225044607,"CAPE CORAL,Cape Coral,Florida",3.0,4.0,1.0,3.0,Attached Garage,429900.0,Single Family Dwelling,FL,Septic,2025.0,attached garage,0
Sanibel,Lee County,"Stucco,Block, Stucco,Concrete Block, Stucco,Concrete",1601.0,"Central Electric,Heating-Electric Heating,Cooling-Electric, Ceiling Fan(s),Heating: Central Heat,Ceiling Fan(s),Electric,Heating-Electric Heating Central,Central,CentralAir, CeilingFans, Electric,Central Air,Cooling: Ceiling Fan(s), Central Air/Cooling,Cooling-Central Air, Electric",0.33,Acres,933.79,For Sale,224077511,"SANIBEL ESTATES,Sanibel,Sanibel Estates,Florida,East End Sanibel",2.0,3.0,1.0,2.0,"Street,Attached Garage",1895000.0,Single Family Dwelling,FL,Public,1969.0,"attached garage, street",0
Sanibel,Lee County,"Stucco,Concrete Block,Block, Ground Level, Stucco,Block, Stucco,Concrete Block, Stucco,Concrete",1917.0,"Central Electric,Heating-Electric Heating,Ceiling Fans,Cooling-Electric, Ceiling Fan(s),Yes,Electric,Central,Central Air,Cooling: Ceiling Fan(s), Central Air/Cooling,Cooling-Central Air, Electric,Heating: Central Heat,Ceiling Fan(s),Heating-Electric Heating Central,CentralAir, CeilingFans, Electric",0.68,Acres,675.53,For Sale,224071235,"Sanibel Bayous,SANIBEL BAYOUS,West End,Sanibel,Florida",2.0,3.0,1.0,2.0,"Street,Attached Garage",1295000.0,Single Family Dwelling,FL,Public,1998.0,"attached garage, street",0
Fort Myers,Lee County,"Stucco,Concrete Block,,Block, Stucco,Concrete,Block,,Block, Concrete, Stucco",1943.0," CeilingFan(s), Central Air,Air Conditioning,Ceiling Fan(s), Central Air,Ceiling Fan(s),Electric,Forced Air,Heating-Electric Heating Central,Central,Central Air,Cooling-Central Air, Electric",0.21,Acres,226.45,For Sale,225004151,"Cypress Cay,Gateway,CYPRESS CAY,Fort Myers",2.0,4.0,1.0,2.0,Attached Garage,672000.0,Single Family Dwelling,FL,Public,2003.0,attached garage,0
Lehigh Acres,Lee County,Brick,1787.0,"Heating: Central Duct,Cooling: Cooling (Central)",0.25,Acres,232.23,For Sale,225055163,Illinois,2.0,3.0,1.6356687898089173,20.317147192716238,Attached Garage,415000.0,Single Family Dwelling,FL,Public,2004.0,attached garage,0
Richmond,Richmond City,Brick,2846.0,"Zoned,Has Cooling,Heat Pump,Heating-Gas Heat, Electric Heating Zone,Ceiling Fan(s),Electric,Cooling-Electric, A/C - Zone, Ceiling Fan(s),Central Air",20199.0,Square Feet,245.96,Sold,2517338,"Oxford,Virginia,Richmond",4.0,3.0,1.0,20.317147192716238,"Driveway,Street",200000.0,Single Family Dwelling,VA,Public,1962.0,"driveway, street",1
Largo,Pinellas County,Masonry,1235.0,"Heating: Central Duct,Cooling: Cooling (Central)",0.0,Square Feet,414.57,Off Market,U8046301,"Shipwatch Yacht Club,Largo, FL",2.0,2.0,1.0,1.0,"Driveway,Carport,Detached Garage,Attached Garage",525000.0,Other,FL,Public,1989.0,"attached garage, carport, detached garage, driveway",1
North Palm Beach,Palm Beach,"STUCCO,CONCRETE BLOCKS,Block",10514.0,"FORCED AIR,Ceiling Fan(s),Electric,Electric Heating,Central,Central Air,ELECTRIC,HVACCooling",1.39,Acres,5231.12,Sold,R11084340,"Palm Beach,Lost Tree Village",5.5,5.0,2.0,4.0,Attached Garage,55000000.0,Land,FL,Public,2022.0,attached garage,0
Danville,contra-costa,Brick,2542.0,"Forced Air,Central,Central Air,None",10201.0,Square Feet,232.87,Sold,40631919,"Danville,California",2.5,4.0,1.0,3.0,Attached Garage,1200000.0,Single Family Dwelling,CA,Public,1973.0,attached garage,1
Philadelphia,Philadelphia,Brick,1280.0,"Heating: Central Duct,Cooling: Cooling (Central)",1750.0,Square Feet,28.52,Off Market,PAPH2426486,"Mayfair,Pennsylvania",1.0,3.0,2.0,1.0,Attached Garage,36500.0,Single Family Dwelling,PA,Public,1945.0,attached garage,1
Tampa,Hillsborough,"Concrete Block,Masonry Frm: Stucco",1706.0,"Central,Other",20037.0,Acres,126.61,Off Market,T3497851,"Town 'n' Country,Bayport Colony North,Cove",2.0,3.0,1.0,523.0,Attached Garage,109000.0,Single Family Dwelling,FL,Public,1985.0,attached garage,0
Spring,Montgomery County,"MAT/RAFT FOUNDATION (SLAB),BRICK VENEER,STONE",1473.0,"Central Electric,Yes,CENTRAL,Gas,Electric,Central,Central Gas,Central Air",12000.0,Square Feet,122.2,Rental,10410295,"Timber Lakes, Timber Ridge, Timberwood,Texas,Grogan's Mill",2.0,3.0,1.0,0.0,Attached Garage,1850.0,Single Family Dwelling,TX,Public,1970.0,attached garage,1
Boca Raton,Palm Beach,"Block,MSY: CB STUCCO",8862.0,"Heat Fuel:ELECTRIC,Cooling Y N: Yes,Heating: Central,Central,Fireplace(s),Central Air, Central,Air Condition Desc.:HTG and AC,Central Furnace,Cooling: Central Air,Heat Type:FORCED AIR DUCT,Central A/C,Heating Yn: Yes,Fireplace",0.34,Acres,2031.14,For Sale,R10982874,"Palm Beach,ROYAL PALM YACHT  COUNTRY CLUB,Boca Raton,Royal Palm Yacht  Country Club,Royal Palm,Royal Palm Yacht and Country Club,4190,Florida,ROYAL PALM YACHT  COUNTRY CLUB SUB,Royal Palm Yacht  Countr",9.0,6.0,2.0,8.0,"Driveway,Attached Garage",21950000.0,Single Family Dwelling,FL,Public,2018.0,"attached garage, driveway",0
Saint Paul,RAMSEY,STUCCO,1100.0,"GAS,HVACCooling,HOT WATER",5750.0,Square Feet,232.87,Off Market,4835646,"Payne-Phalen,Minnesota,Payne - Phalen,Payne Phalen",1.0,2.0,2.0,2.0,"Street,Detached Garage",1075.0,Apartment,MN,Public,1889.0,"detached garage, street",1
Snellville,DeKalb,"Frame,Wood,Wood Siding",1230.0,"Cooling-Central Air, Electric, Ceiling Fan(s),Ceiling Fan(s),Gas,Electric,Forced Air,Central,Central Air,Natural Gas,Heating-Gas Heat Central,Fireplace",0.5,Acres,229.27,Sold,10482264,"Snellville,Hightower Estates,Southeast DeKalb",2.0,3.0,1.0,2.0,Attached Garage,282000.0,Single Family Dwelling,GA,Septic,1995.0,attached garage,0
Alpharetta,Fulton,"Frame, Vinyl Siding,Frame,Vinyl,Brick, Vinyl Siding,Brick,Vinyl Siding,Block,Brick Front, Frame, Vinyl Siding,Brick, Frame, Vinyl Siding",1322.0,"Has Cooling,Cooling-Central Air,Heating-Gas Heat,Gas,Forced Air,Central,Heating and Cooling,Has Heating,Central Air,Natural Gas",0.14,Acres,296.52,Sold,10487441,"AVENSONG,Avensong,Alpharetta,Milton",2.0,2.0,2.0,1.0,"Driveway,Carport,Attached Garage",2720.0,Single Family Dwelling,GA,Public,1995.0,"attached garage, carport, driveway",0
GLENCOE,Cook,"BRICK/STONE (BRICK AND/OR STONE),MASONRY/CONCRETE MASONRY UNITS (CMUS)",3198.0," CentralAir, Zoned,CENTRAL,Cooling: Central Air, Zoned,Central Air,Zoned,Heating: Natural Gas, Forced Air, Sep Heating Systems - 2+, Zoned,Heating-Gas Heat Forced Air, Zone,Air Conditioning,Central Air, Zoned,Forced Air,Heating and Cooling,Cooling-Central Air, A/C - Zone,NONE,Natural Gas",9100.0,Square Feet,489.58,Off Market,11920797,"Glencoe,Illinois",5.5,6.0,2.0,2.0,"Detached Garage,Attached Garage",2350000.0,Single Family Dwelling,IL,Public,2024.0,"attached garage, detached garage",1
Richmond,Richmond City,"Brick, Concrete,Brick,Steel Frame,Concrete,Brick; Concrete",1729.0,"Central Air, Heat Pump,Heat Pump,Electric,Forced Air,Central,Heating-Electric Heating Heat Pump,Central Air,Cooling-Central Air, Electric, Heat Pump, Ceiling Fan(s)",175011.0,Square Feet,202.37,For Sale,2517885,"Hathaway Tower Condominiums,Virginia",2.0,3.0,2.0,1.0,Street,135000.0,Condo,VA,Public,1972.0,street,1
PINELLAS PARK,Pinellas County,Concrete Block,1192.0,"Heating: Central Duct,Cooling: Cooling (Central)",61070.14,Square Feet,232.87,Pending,U8169596,Illinois,2.0,3.892095357590966,1.0,20.317147192716238,Attached Garage,825493.9891451831,Single Family Dwelling,FL,Public,2004.0,attached garage,1
Ludington,Mason,"Vinyl,Vinyl Siding",1377.0,"Heating-Forced Air,Forced Air,Central Air,Natural Gas",26572.0,Square Feet,199.64,For Sale,25030386,"Ludington,Michigan",1.0,3.0,1.0,2.0,Detached Garage,284900.0,Single Family Dwelling,MI,Septic,1975.0,detached garage,1
PINELLAS PARK,Pinellas County,Prefinished Metal,4256.0,Cooling: None,3873099.0,Square Feet,232.87,For Sale,225031250,Illinois,2.466245487364621,3.892095357590966,1.0,20.317147192716238,Attached Garage,825493.9891451831,Other,FL,Public,1989.0,attached garage,1
Mission,Hidalgo,Brick,1433.0,"Has Heating (Unspecified Type),Cooling-Central Air, Ceiling Fan(s),Central,Central Air",0.2,Acres,157.01,For Sale,465950,"El Arroyo,Texas",2.0,3.0,1.6356687898089173,2.0,Attached Garage,230000.0,Single Family Dwelling,TX,Public,2000.0,attached garage,0
Stuart,Martin,Brick Trim/Veneer,1068.0,"Ceiling Fan(s),Central,Cooling-Ceiling Fan(s),Central Air",43067.04824884569,Square Feet,206.93,Sold,R10944101,"800 Place Courtyard Condo,Martin,800 PLACE COURTYARD CONDO",2.0,2.0,1.0,20.317147192716238,Attached Garage,221000.0,Condo,FL,Public,1979.0,attached garage,1
Vail,Eagle County,"Stucco,Stone, Stucco,Stone,Stone; Stucco",2080.0,"Yes,Central Air, Wall Unit(s), Zoned,Heating-Radiant, Forced Air,Smart Thermostat,Central Air,Wall Unit(s),Zoned,Has Cooling,Cooling-Central Air, A/C - Zone, Wall Air Conditioning,Radiant Floor,Forced Air,Heating and Cooling,Has Heating",0.04,Acres,1439.9,Off Market,1011441,"Vail,Vail Point Th,Sandstone Lionsridge",4.0,4.0,3.0,3.0,"Carport,Attached Garage",1200000.0,Single Family Dwelling,CO,Public,1983.0,"attached garage, carport",0
Glencoe,Lee County,Brick,2970.0,"Heating: Central Duct,Cooling: Cooling (Central)",11700.0,Square Feet,232.87,For Sale,10481896,Illinois,4.5,6.0,2.0,2.0,Attached Garage,825493.9891451831,Single Family Dwelling,IL,Public,1929.0,attached garage,1
West Palm Beach,Palm Beach,Brick,0.0,"Electric,Electric Heating,Central,Central Air",43560.0,Square Feet,232.87,Pending,F1364318,"West Palm Beach,Palm Beach,SLADE CONDO,Florida,Slade",3.0,3.0,17.0,2.0,Attached Garage,39900.0,Condo,FL,Public,2005.0,attached garage,1
Aylett,King William,"Drywall, Frame, VinylSiding",1472.0,"Zoned,Air Conditioning,Heating,Electric",43067.04824884569,Square Feet,208.34,For Sale,2518158,"Mccauley Park,Aylett",2.0,3.0,2.0,20.317147192716238,Attached Garage,301674.0,Single Family Dwelling,VA,Public,2025.0,attached garage,1
Piedmont,Canadian County,Brick,13800.0,"Heating: Central Duct,Cooling: Cooling (Central)",32670.0,Square Feet,122.83,For Sale,1179175,Illinois,6.0,26.0,1.0,20.317147192716238,Attached Garage,1695000.0,Multi-Family Dwelling,OK,Public,2019.0,attached garage,1
TAMPA,hillsborough,Concrete Block,3420.266589057043,Non-Ducted,19255.0,Square Feet,232.87,For Sale,T3485683,Elliott  Harrison/Byars Hts. Area,1.0,1.0,1.0,20.317147192716238,Attached Garage,65000.0,Single Family Dwelling,FL,Public,1994.0,attached garage,1
Saint Petersburg,Pinellas County,"ALUMINUM/VINYL,FOOTING,FRAME,Frame Siding",1374.0,"Heating: Central Duct,FORCED AIR,Cooling: Cooling (Central),CENTRAL,Electric,Central Air",139870.31,Square Feet,198.05,Sold,T3140779,"St. Petersburg,Shore Acres",3.0,4.0,2.0,2.0,"Carport,Attached Garage",450300.0,Single Family Dwelling,FL,Public,1979.0,"attached garage, carport",1
OLDSMAR,Pinellas County,Concrete Block,19200.0,Cooling: None,630441.44,Square Feet,232.87,For Sale,225031250,Illinois,2.466245487364621,3.892095357590966,1.0,20.317147192716238,Attached Garage,825493.9891451831,Other,FL,Public,1985.0,attached garage,1
Henrico,Henrico,"Frame,Brick,Brick, Drywall, Frame,Brick, Frame",980.0,"HeatPump,Heat Pump,Ceiling Fan(s),CentralAir,Electric,Heating-Electric Heating Heat Pump,Central Air,Cooling-Central Air, Electric, Heat Pump, Ceiling Fan(s),HVACCooling",871.0,Square Feet,219.39,For Sale,2517819,Turtle Creek West Condominiums,2.0,2.0,1.0,20.317147192716238,Parking Lot,215000.0,Condo,VA,Public,1985.0,parking lot,1
WINNETKA,Cook,"WOOD,FRAME",5914.0,"Heating-Gas Heat Radiant, Forced Air,Cooling-Central Air,CENTRAL,NONE",24034.0,Square Feet,452.32,Sold,11879180,Winnetka,4.5,5.0,2.0,4.0,Attached Garage,2675000.0,Single Family Dwelling,IL,Public,1922.0,attached garage,1
Bumpass,Louisa,"Frame,Block, Frame, Vinyl Siding,Vinyl,Wood,Block, Drywall, Frame, VinylSiding,Block (unspecified),Block; Drywall; Frame; Vinyl Siding",1144.0,"HeatPump,Has Cooling,Heat Pump,Ceiling Fan(s),CentralAir,Electric,Heating-Electric Heating Heat Pump,Central Air,Cooling-Central Air, Electric, Heat Pump, Ceiling Fan(s),HVACCooling",78931.0,Square Feet,165.54,Pending,2518058,"Little River Farms,Bumpass",2.0,3.0,1.0,20.317147192716238,Street,79900.0,Single Family Dwelling,VA,Septic,1990.0,street,1
Danville,contra-costa,Brick,2136.0,"Forced Air,Central Air",13750.0,Square Feet,232.87,Pending,11112352,Danville,2.0,4.0,1.0,2.0,Attached Garage,565000.0,Single Family Dwelling,CA,Public,1972.0,attached garage,1
Spring,Harris County,Brick,1774.0,"Central Electric,Yes,Electric,Central,NONE,Central Air",5126.0,Square Feet,1.27,Pending,59441226,"Spring,Cypresswood",2.0,3.0,1.0,2.0,Attached Garage,2249.0,Single Family Dwelling,TX,Public,2016.0,attached garage,1
Steamboat Springs,Routt County,"Frame,Frame, Stone, Wood Frame,Wood Frame,Stone",2182.0,"Yes,Heating-Forced Air,Forced Air,Fireplace",9583.0,Square Feet,850.19,Sold,S1057258,"Steamboat Springs,Hunters Glen,HUNTERS GLEN",3.0,3.0,1.0,2.0,"Street,Attached Garage",1875000.0,Single Family Dwelling,CO,Public,1995.0,"attached garage, street",1
Chanhassen,Carver County,"Fiber Cement,Brick/Stone, Fiber Cement",4864.0,"Cooling-Central Air,Heating-Radiant, Forced Air,Radiant Floor,Forced Air,Central Air",39204.0,Square Feet,118.22,For Sale,6552506,Chanhassen,3.0,3.0,1.0,3.0,Attached Garage,575000.0,Single Family Dwelling,MN,Public,2024.0,attached garage,1
Seminole,Pinellas County,"Concrete Block,Footing,Block,Concrete Blocks",925.0,"Has Cooling,Heating: Central Duct,Cooling: Cooling (Central),Cooling: Central Air,Cooling-Central Air, Ceiling Fan(s),Heating-Central,Heating: Central,Central,Has Heating,Central Air",87990.2,Square Feet,390.05,Sold,TB8333140,"Bardmoor,Cross Bayou Estates,Cross Bayou Estates 1st Add,CROSS BAYOU ESTATES 1ST ADD",1.0,3.0,1.0,1.0,"Carport,Attached Garage",350000.0,Single Family Dwelling,FL,Public,1959.0,"attached garage, carport",1
Treasure Island,Pinellas County,Wood Frame,2025.0,"Heating: Central Duct,Cooling: Cooling (Central)",0.0,Square Feet,178,Pending,U8155557,"Paradise Island,Florida",2.5,3.0,2.0,2.0,Attached Garage,362000.0,Townhouse,FL,Public,1984.0,attached garage,1
West Mifflin,allegheny,Brick,1480.0,"Gas,Central",5775.0,Square Feet,232.87,Sold,405473,Pennsylvania,1.5,3.0,2.0,1.0,Attached Garage,79900.0,Single Family Dwelling,PA,Public,1955.0,attached garage,1
West Mifflin,Allegheny-South,Brick,904.0,"Has Cooling,Heating-Gas Heat, Wood, Hot Water Radiant, Stove,Hot Water,Cooling-Gas,Gas,Heating and Cooling,Central,Has Heating,Wall/Window Unit(s),Natural Gas",0.18,Acres,113.38,Sold,1701535,"Carnegie Manor,Pennsylvania",1.5,2.0,1.0,1.0,Attached Garage,75500.0,Single Family Dwelling,PA,Public,1944.0,attached garage,0
PINELLAS PARK,Pinellas County,"Concrete Block,Footing,FOOTING,Masonry/concrete Masonry Units (cmus),Masonry,MASONRY/CONCRETE MASONRY UNITS (CMUS),CONCRETE BLOCK",4000.0,"Cooling: None,NONE,None",124760.28,Square Feet,232.87,Sold,225031250,Illinois,1.0,3.892095357590966,1.0,20.317147192716238,Attached Garage,825493.9891451831,Industrial,FL,Public,1972.0,attached garage,1
Murrells Inlet,Georgetown,"VINYL,PIER/POST and BEAM,WOOD,Other",1990.0,"FORCED AIR,Air Conditioning,Electric,Forced air,Forced Air,Central,Heating and Cooling",43560.0,Acres,156,For Sale,2020975,Illinois,2.0,3.0,1.0,4.0,"Carport,Attached Garage",295000.0,Manufactured Home,SC,Public,1987.0,"attached garage, carport",0
Scott Depot,Putnam,"Vinyl,Vinyl Siding",1824.0,"Heating-Electric Heating Forced Air,Electric,CentralAir,Forced Air,Central Air,ForcedAir,Cooling-Central Air, Electric",7.97,Acres,43.86,For Sale,276226,Illinois,1.5,3.0,1.0,2.0,Attached Garage,118300.0,Single Family Dwelling,WV,Septic,1959.0,attached garage,0
Glencoe,Lee County,Brick,4987.0,"Heating: Central Duct,Cooling: Cooling (Central)",21975.0,Square Feet,232.87,Pending,11144199,Illinois,3.5,5.0,2.0,3.0,Attached Garage,825493.9891451831,Single Family Dwelling,IL,Public,1995.0,attached garage,1
TARPON SPRINGS,Pinellas County,Concrete Block,1500.0,"Heating: Central Duct,Cooling: Cooling (Central)",132030.3,Square Feet,187,Sold,T3271470,"Sunset Hills 2nd Add,Florida",2.0,3.0,1.0,2.0,"Carport,Attached Garage",279900.0,Single Family Dwelling,FL,Private,1981.0,"attached garage, carport",1
Branson,Taney,"Vinyl,Vinyl Siding",791.0,"Cooling-Central Air, Electric, Ceiling Fan(s),Ceiling Fans, Central, Electric,Heating-Forced Air,Cooling-Central Air, Ceiling Fan(s),Ceiling Fan(s),Electric,Forced Air,Heating-Electric Heating Central,Central,Central Air",0.02,Acres,189.51,For Sale,60292301,"Branson,Fall Creek Condos",2.0,2.0,1.0,20.317147192716238,Attached Garage,149900.0,Condo,MO,Public,1994.0,attached garage,0
Sandston,Henrico,"Brick; Block,Brick, Block,Brick,BRICK,RAISED (UNSPECIFIED)",1680.0,"Has Cooling,Heating-Electric Heating,Window Unit(s),Electric,Cooling-Window Air Conditioning, Electric,HEAT PUMP,HVACCooling",54616.0,Square Feet,154.76,Pending,2518221,"Grapevine Estates,Virginia",3.0,3.0,1.0,20.317147192716238,Attached Garage,260000.0,Single Family Dwelling,VA,Septic,1986.0,attached garage,1
Cape Coral,Lee County,"Stucco,Block, Stucco,Concrete,Other",2052.0,"Ceiling Fan(s),Electric,CentralAir,CeilingFans,Heating-Electric Heating Central,Forced Air,Central,Central Air,Cooling-Central Air, Electric",0.23,Acres,192.45,Pending,225044231,"CAPE CORAL,Cape Coral,Florida",2.0,4.0,1.0,2.0,Attached Garage,123000.0,Single Family Dwelling,FL,Septic,2005.0,attached garage,0
Carrollton,Carroll,"Vinyl,Vinyl Siding",1344.0,"Has Cooling,Air Conditioning,Heating,Ceiling Fan(s),Cooling-Central Air, Ceiling Fan(s),Electric,Heating-Electric Heating Central,Heating-Central,Central,Heating and Cooling,Has Heating,Central Air",4.97,Acres,178.5,Pending,7595492,"None- 4.97 ac,None- 4.97 Ac,None",2.0,3.0,1.0,2.0,"Carport,Attached Garage",249900.0,Single Family Dwelling,GA,Septic,1999.0,"attached garage, carport",0
Estero,Lee County,"Stucco,Block; Stucco,Block, Stucco,Brick,Concrete Block, Brick,Block, Brick,Concrete",2202.0,"Central Electric,Heating-Electric Heating,Yes,CentralAir, Electric,Electric,CeilingFans,Cooling Y N: Yes,Central,Central Air,Cooling-Central Air, Electric,Cooling: Central Air, Electric,Ceiling Fan(s),Heating-Electric Heating Central,Forced Air,Heating: Central, Electric,Heating Yn: Yes,Cooling-Electric",0.2,Acres,227.07,Pending,225038467,"Fort Myers Outlying,THE PLACE AT CORKSCREW,Estero,The Place At Corkscrew,The Place at Corkscrew",3.0,3.0,1.0,2.0,Attached Garage,549900.0,Single Family Dwelling,FL,Public,2019.0,attached garage,0
Fort Myers,Lee County,Brick,1092.0,"Ceiling Fan(s),Electric,Central,Central Air",0.25,Acres,238,For Sale,2025002668,Illinois,2.0,3.0,1.0,264.0,"Carport,Attached Garage",259900.0,Single Family Dwelling,FL,Public,1961.0,"attached garage, carport",0
Buckingham,Lee County,Brick,2051.0,"Heating: Central Duct,Cooling: Cooling (Central)",0.43,Acres,329.06,For Sale,840819,Illinois,2.0,3.0,1.6356687898089173,20.317147192716238,Attached Garage,699900.0,Single Family Dwelling,FL,Public,1982.7783075089392,attached garage,0
Wyoming,Kent,"Vinyl,Stone; Vinyl Siding; Other,Stone,Other",1578.0,"Has Cooling,Cooling-Central Air,Heating-Gas Heat Forced Air,SEER 13 or Greater,Heating-Forced Air,Forced Air,Forced air,Central",0.25,Acres,260.08,Sold,25011627,Michigan,2.0,3.0,1.0,2.0,Attached Garage,222900.0,Single Family Dwelling,MI,Public,2013.0,attached garage,0
Bokeelia,Lee County,Brick,1501.0,"Heating: Central Duct,Cooling: Cooling (Central)",0.14,Acres,666.22,For Sale,225017541,Illinois,3.0,4.0,1.6356687898089173,20.317147192716238,Attached Garage,1000000.0,Single Family Dwelling,FL,Public,1994.0,attached garage,0
LEHIGH ACRES,Lee County,"Stucco,Concrete Block,Block, Stucco,Concrete Block, Stucco,Concrete,Other",1442.0,"Has Cooling,Central Electric,Yes,Electric,Heating-Electric Heating Central,Central,Has Heating,Central Air,Cooling-Central Air, Electric",0.03,Acres,149.03,For Sale,224101394,"Lehigh Acres,East Greens Land Condo,EAST GREENS LAND CONDO,Joel",2.0,3.0,1.0,2.0,"Driveway,Carport,Street,Attached Garage",224900.0,Single Family Dwelling,FL,Public,1988.0,"attached garage, carport, driveway, street",0
Richmond,Richmond City,"Frame, Vinyl Siding,Frame,Vinyl,ALUMINUM/VINYL,Drywall, Frame, VinylSiding,Drywall; Frame; Vinyl Siding,WOOD,RAISED (UNSPECIFIED)",2327.0,"HeatPump,Has Cooling,FORCED AIR,Heat Pump,Ceiling Fan(s),CENTRAL,Electric,Heating-Gas Heat, Electric Heating Heat Pump,Cooling-Electric, Heat Pump, Ceiling Fan(s)",8398.0,Square Feet,235.93,Pending,2518337,"Bellevue Court,Bellevue,Virginia",3.0,3.0,2.0,20.317147192716238,"Street,Attached Garage",275000.0,Single Family Dwelling,VA,Public,2001.0,"attached garage, street",1
Cape Coral,Lee County,"Stucco,Block, Stucco,Concrete Block, Stucco,Concrete",1960.0,"Central Electric,Electric,CentralAir,CeilingFans,Cooling Y N: Yes,Central,Central Air,Cooling-Central Air, Electric,Ceiling Fan(s),Heating-Electric Heating Central,Heating: Central, Electric,Heating Yn: Yes,CentralAir, CeilingFans, Electric,Cooling: Central Air, Ceiling Fan(s), Electric",0.23,Acres,198.88,For Sale,224079003,"CAPE CORAL,Cape Coral,Florida,Mariner",2.0,4.0,1.0,2.0,Attached Garage,398200.0,Single Family Dwelling,FL,Public,2024.0,attached garage,0
Tarpon Springs,Pinellas County,"STUCCO,CONCRETE BLOCKS,FOOTING,Cb Stucco/Cb Reclad",2242.0,"Heating: Central Duct,FORCED AIR,Cooling: Cooling (Central),CENTRAL,Central,Central Air",320470.72,Square Feet,127,Pending,U7743384,Illinois,2.5,3.0,1.0,2.0,"RV Parking,Street,Attached Garage",285000.0,Single Family Dwelling,FL,Septic,1978.0,"attached garage, rv parking, street",1
Blaine,Whatcom,Wood,700.0,"Baseboard,Heating-Baseboard,Window Unit,Air Conditioning,Heating and Cooling,Other – See Remarks,None",0.09,Acres,384.29,For Sale,2374356,Birch Bay,1.0,2.0,1.0,2.0,"Carport,Street",1595.0,Condo,WA,Public,1978.0,"carport, street",0
Byron Center,Kent County,"Wood,Wood Siding",1668.0,"Heating-Forced Air,Forced Air,Central Air,Natural Gas",2.33,Acres,239.21,For Sale,25030391,Michigan,2.0,3.0,1.6356687898089173,2.0,Attached Garage,499000.0,Single Family Dwelling,MI,Public,1960.0,attached garage,0
Richmond,Henrico,"Wood,Aluminum Siding, Block, Wood Siding,Aluminum,AluminumSiding, Block, WoodSiding,Aluminum Siding; Block; Wood Siding",1248.0,"Cooling-Central Air,Heating-Gas Heat Forced Air,Yes,Forced Air,Central Air,Natural Gas",8882.0,Square Feet,152.24,Pending,2518080,"Westbourne,Virginia",2.0,4.0,2.0,1.0,Attached Garage,190000.0,Single Family Dwelling,VA,Public,1956.0,attached garage,1
Bonita Springs,Lee County,Brick,1911.0,"Heating: Central Duct,Cooling: Cooling (Central)",0.19,Acres,229.72,For Sale,225047103,Illinois,3.0,3.0,1.6356687898089173,20.317147192716238,Attached Garage,439000.0,Single Family Dwelling,FL,Public,2002.0,attached garage,0
Bonita Springs,Lee County,"Stucco,Concrete Block,Vinyl,ALUMINUM/VINYL,Wood Frame,Vinyl Siding,Concrete,Block, Stucco, Vinyl Siding,Concrete Block, Wood Frame, Stucco, Vinyl Siding",2457.0,"FORCED AIR,Central Electric,Ceiling Fans,Exhaust Fan,Yes,CENTRAL,Electric,Cooling Y N: Yes,Central,Central Air,Cooling-Central Air, Electric,Has Cooling,Ceiling Fan(s),Heating-Electric Heating Central,Heating: Central, Electric,Heating Yn: Yes,Has Heating,Cooling: Central Air, Ceiling Fan(s), Electric,ELECTRIC,Ridge Vent",0.28,Acres,527.07,Off Market,225003477,"Estero Bay Shores,ESTERO BAY SHORES,Florida,Bonita Springs,Spring Creek Village",3.0,4.0,2.0,3.0,"Driveway,Carport,Street,Attached Garage",1295000.0,Single Family Dwelling,FL,Public,1992.0,"attached garage, carport, driveway, street",0
